Date,Weight,Fat mass,Comments
8/19/16 7:37,175.8,38.6,
8/18/16 6:48,175.7,40.6,
8/17/16 6:47,177.4,41.2,
8/16/16 7:07,177.6,40.4,
8/15/16 6:36,175.7,40.3,
8/14/16 7:38,177.8,40.9,
8/13/16 9:23,175.9,41.7,
8/12/16 7:23,175.4,40.1,
8/11/16 7:31,175.7,39.7,
8/10/16 6:58,176.3,40.8,
8/9/16 7:33,176.6,41.2,
8/8/16 6:19,176.8,40,
8/7/16 8:38,176.7,40.9,
8/6/16 6:14,177.8,41.4,
8/5/16 6:21,177.2,40.5,
8/4/16 7:03,176.8,40.8,
8/3/16 6:30,177.1,39.7,
8/2/16 7:19,177,39.1,
7/30/16 8:09,176,41.1,
7/29/16 7:17,176.9,40,
7/28/16 7:06,176.7,41,
7/27/16 7:36,176.1,39.6,
7/26/16 6:17,176.6,41.2,
7/25/16 7:09,176.9,40,
7/24/16 7:52,177.4,41.2,
7/23/16 7:02,176.8,39.8,
7/22/16 7:14,178.2,41,
7/21/16 8:04,177,42,
7/20/16 7:12,176.6,40.9,
7/19/16 7:17,177.1,41.6,
7/18/16 7:40,178.6,39.7,
7/15/16 7:31,175.9,40.3,
7/14/16 7:24,176,39.8,
7/13/16 6:39,176.4,40.1,
7/12/16 6:45,174.9,39.4,
7/11/16 6:41,177,40.7,
7/10/16 7:25,178.7,40,
7/9/16 9:18,178,39.7,
7/8/16 7:17,178,41.2,
7/7/16 6:54,178.4,40.3,
7/6/16 6:51,177.7,40.9,
7/5/16 6:47,179,40.6,
7/4/16 7:40,180.6,41.1,
7/3/16 7:13,180.1,40.1,
6/25/16 8:20,179,42.3,
6/24/16 7:29,179,42.4,
6/23/16 7:25,178.9,41.7,
6/22/16 6:33,178.9,41.2,
6/21/16 7:01,179.2,40.5,
6/18/16 9:43,178.7,42.2,
6/17/16 6:16,179.5,43.4,
6/16/16 6:42,179.2,42,
6/15/16 7:04,178,42.4,
6/14/16 6:29,178.1,41,
6/13/16 6:14,179.3,42.2,
6/12/16 8:29,178.7,43.7,
6/11/16 8:59,178.4,42.5,
6/8/16 4:50,177.8,42,
6/7/16 6:32,177.2,41.2,
6/6/16 6:00,179.3,41.7,
6/5/16 9:26,178.5,40.7,
6/4/16 8:09,178.2,41.9,
6/2/16 4:09,178.9,,
6/1/16 6:08,178.1,39,
5/31/16 5:59,179.1,41.7,
5/31/16 5:58,177.7,40.3,
5/28/16 7:05,178.2,41.2,
5/27/16 6:24,177.2,40.4,
5/26/16 6:20,177.9,41.7,
5/25/16 5:51,179.2,42.7,
5/24/16 6:44,179.3,41.5,
5/22/16 7:52,179.7,41.4,
5/21/16 7:28,178.6,42,
5/20/16 7:07,178.2,41.8,
5/18/16 7:10,179.3,40.9,
5/16/16 6:36,179.7,42.3,
5/15/16 7:58,179.6,43,
5/14/16 8:11,180,40.5,
5/13/16 6:05,178.6,41.2,
5/12/16 7:26,178.9,41.7,
5/11/16 7:08,179.5,41.3,
5/10/16 7:47,178.9,42.2,
5/9/16 6:22,180.3,42,
5/7/16 9:42,179.2,44.4,
5/6/16 6:24,179.1,43.6,
5/5/16 6:31,179.1,,
5/4/16 6:44,179.5,43.4,
5/3/16 6:16,179.1,43.5,
5/2/16 6:39,180.1,42.3,
4/30/16 8:12,178.7,42.5,
4/29/16 6:06,178,42.6,
4/28/16 6:46,179.1,43.1,
4/27/16 6:16,180,43.2,
4/26/16 6:26,179.5,42.6,
4/25/16 6:01,180.4,42.2,
4/23/16 9:22,177.8,,
4/22/16 6:20,178.2,42.5,
4/21/16 6:19,178.2,42.3,
4/20/16 6:27,177.7,40.1,
4/19/16 6:35,179.6,42.1,
4/18/16 5:56,179.8,41.6,
4/17/16 9:38,180.2,41.4,
4/16/16 7:46,178,42.5,
4/15/16 6:46,179.2,42.1,
4/14/16 6:41,179.9,41.4,
4/13/16 6:28,177.2,42.5,
4/12/16 6:25,178.9,43.1,
4/12/16 6:24,178.4,42.6,
4/11/16 6:23,180.4,42.2,
4/10/16 8:00,180.2,42.5,
4/9/16 8:03,179.5,43.5,
4/8/16 6:48,179.8,42.7,
4/7/16 6:47,180.3,42.2,
4/6/16 6:27,179.5,43.2,
4/5/16 6:52,180.8,42.7,
4/4/16 5:43,181.4,43.2,
4/1/16 7:00,180.6,40.7,
3/31/16 6:09,181.5,42.2,
3/30/16 6:46,180.1,41.5,
3/29/16 6:16,181.3,41.5,
3/28/16 7:59,181.4,42.3,
3/23/16 7:17,178.8,43.3,
3/22/16 7:24,179.9,43.7,
3/21/16 7:29,179.7,42.4,
3/20/16 8:49,179.5,43,
3/19/16 10:51,179.2,45.1,
3/18/16 6:52,180.6,42.8,
3/17/16 8:52,179.6,41.7,
3/16/16 6:28,179.1,41,
3/15/16 6:34,179.5,42.2,
3/14/16 6:12,180.2,43.2,
3/11/16 7:15,179.2,39.7,
3/10/16 6:20,178.9,42.1,
3/9/16 6:09,179.6,41.1,
3/8/16 6:24,179.2,42.5,
3/7/16 6:32,179.7,41.3,
3/6/16 9:20,179.9,,
3/4/16 5:57,181.3,42.8,
2/29/16 4:13,179.3,41.8,
2/28/16 9:21,180.7,41.6,
2/27/16 8:41,178.2,42.5,
2/26/16 7:09,177.7,41.3,
2/25/16 6:14,178.5,41.1,
