"","Time","Name","Lon","Lat","Description","newtime"
"1","Thu, 03 Sep 15 21:41:25 +0000","Casa Maya",-74.4694864299088,40.689915627584,"@",2015-09-03
"2","Sun, 30 Aug 15 16:18:03 +0000","Morristown Bagels And Deli",-74.4756682121612,40.7972017656153,"@",2015-08-30
"3","Fri, 28 Aug 15 17:09:46 +0000","The Committed Pig",-74.4818097121606,40.7969445997993,"@",2015-08-28
"4","Wed, 26 Aug 15 21:37:21 +0000","Jockey Hollow Bar &amp; Kitchen",-74.4773109270273,40.7940959530441,"@",2015-08-26
"5","Wed, 26 Aug 15 13:01:14 +0000","Smartworld Denville",-74.4785243511507,40.8925435186472,"@",2015-08-26
"6","Sat, 22 Aug 15 01:55:55 +0000","Cavallo Point Lodge",-122.478680171845,37.8372829284971,"@",2015-08-22
"7","Fri, 21 Aug 15 00:55:18 +0000","Osha Thai Noodle Cafe",-122.413502203657,37.7891649835885,"@",2015-08-21
"8","Thu, 20 Aug 15 03:24:52 +0000","Sanraku",-122.412047567303,37.7887515440238,"@",2015-08-20
"9","Tue, 18 Aug 15 23:23:07 +0000","Caf de la Presse",-122.406046288098,37.7900288519772,"@",2015-08-18
"10","Tue, 18 Aug 15 03:53:04 +0000","Elliott Bay Brewhouse and Pub",-122.334797322121,47.4393557077907,"@",2015-08-18
"11","Mon, 17 Aug 15 17:52:01 +0000","Oak Table Cafe",-123.107570286947,48.0789975055267,"@",2015-08-17
"12","Sun, 16 Aug 15 16:06:07 +0000","Hurricane Coffee",-123.102538417775,48.0797541039303,"@",2015-08-16
"13","Wed, 12 Aug 15 21:56:07 +0000","Lake Crescent",-123.799150148645,48.0573703929419,"@",2015-08-12
"14","Tue, 11 Aug 15 19:44:19 +0000","Starbucks Reserve Roastery &amp; Tasting Room",-122.328157476715,47.6141022130702,"@",2015-08-11
"15","Tue, 11 Aug 15 03:18:33 +0000","Poppy",-122.320694386217,47.6247277186409,"@",2015-08-11
"16","Mon, 10 Aug 15 01:47:16 +0000","Big Time Brewery &amp; Alehouse",-122.313580940758,47.6578231662399,"@",2015-08-10
"17","Mon, 10 Aug 15 00:43:38 +0000","UW: Waterfront Activities Center",-122.299689573758,47.6483755418728,"@",2015-08-10
"18","Fri, 07 Aug 15 03:43:11 +0000","Harborview Park",-122.325923550119,47.6039810866741,"@",2015-08-07
"19","Fri, 07 Aug 15 00:13:09 +0000","Anthony's Pier 66 &amp; Bell Street Diner",-122.348417601519,47.6107819920315,"@",2015-08-07
"20","Wed, 29 Jul 15 17:55:25 +0000","Tiff's Treats",-96.8049134206275,32.783537013721,"@",2015-07-29
"21","Wed, 29 Jul 15 16:54:36 +0000","CBD Provisions",-96.7996452364724,32.7785298268998,"@",2015-07-29
"22","Wed, 29 Jul 15 15:20:57 +0000","Weekend",-96.8007699866977,32.77789829579,"@",2015-07-29
"23","Tue, 28 Jul 15 21:35:25 +0000","Jockey Hollow Bar &amp; Kitchen",-74.4634704315817,40.7825795743631,"@",2015-07-28
"24","Sat, 18 Jul 15 17:32:42 +0000","Chips Family Restaurant",-72.6553737667293,41.6853015390483,"@",2015-07-18
"25","Sat, 18 Jul 15 02:31:37 +0000","Wong Dynasty",-71.862822180599,42.34295271918,"@",2015-07-18
"26","Thu, 16 Jul 15 16:45:11 +0000","Cafe Carriage House",-74.6415557045349,40.6487478201097,"@",2015-07-16
"27","Thu, 16 Jul 15 00:54:56 +0000","H2Ocean Restaurant &amp; Raw Bar",-74.4477225413772,40.8264017354753,"@",2015-07-16
"28","Tue, 14 Jul 15 18:44:37 +0000","Tuthilltown Spirits",-74.1753763084571,41.6865928217841,"@",2015-07-14
"29","Mon, 13 Jul 15 22:03:10 +0000","Cold Spring Lodge",-74.4601045884093,42.0725749218959,"@",2015-07-13
"30","Sun, 12 Jul 15 00:58:27 +0000","MetLife Stadium",-74.0739094620783,40.8125475239156,"@",2015-07-12
"31","Sat, 11 Jul 15 16:00:00 +0000","C'est Cheese",-74.479285598802,40.7949611108323,"@",2015-07-11
"32","Fri, 10 Jul 15 16:12:49 +0000","Cafe Carriage House",-74.6416071692182,40.6482898832929,"@",2015-07-10
"33","Tue, 07 Jul 15 22:24:15 +0000","Yankee Bar &amp; Grill",-73.9261454418391,40.8272820460801,"@",2015-07-07
"34","Mon, 06 Jul 15 19:00:19 +0000","Kaffe 1668",-74.0115100232852,40.714897220362,"@",2015-07-06
"35","Sun, 05 Jul 15 18:04:00 +0000","Riverside Coffee &amp; Tea",-74.9117458046468,40.635944592054,"@",2015-07-05
"36","Wed, 01 Jul 15 00:21:13 +0000","Rita's of Morristown",-74.4771163204925,40.7967923767526,"@",2015-07-01
"37","Sun, 28 Jun 15 23:06:17 +0000","Mamoun's Falafel Restaurant",-72.934542092581,41.3102127284833,"@",2015-06-28
"38","Sun, 28 Jun 15 00:37:38 +0000","Charcoal Guido's",-71.2371337719203,42.367992162877,"@",2015-06-28
"39","Fri, 26 Jun 15 16:27:06 +0000","Rattlesnake Cantina",-74.4816093870281,40.8747924025014,"@",2015-06-26
"40","Fri, 26 Jun 15 00:59:58 +0000","End of Elm",-74.4731898014661,40.7963783922942,"@",2015-06-26
"41","Wed, 24 Jun 15 16:55:07 +0000","South Street Creamery",-74.4768129628175,40.792965281102,"@",2015-06-24
"42","Mon, 22 Jun 15 20:39:25 +0000","Tribeca Tap House",-74.0103853147028,40.719382188969,"@",2015-06-22
"43","Fri, 19 Jun 15 01:11:34 +0000","Millies Old World Meatballs And Pizza",-74.4791310600718,40.7947274341429,"@",2015-06-19
"44","Thu, 18 Jun 15 15:49:53 +0000","Cafe Carriage House",-74.6412869442705,40.6487113350907,"@",2015-06-18
"45","Sun, 14 Jun 15 23:30:46 +0000","Strawberry Fields Frozen Yogurt - Morristown",-74.4786731667402,40.7944376001658,"@",2015-06-14
"46","Sun, 14 Jun 15 23:29:52 +0000","south+pine american eatery",-74.4787761928438,40.7944420959141,"@",2015-06-14
"47","Mon, 08 Jun 15 21:14:14 +0000","The Perfect Pint",-73.98486527832,40.7583214871537,"@",2015-06-08
"48","Mon, 08 Jun 15 17:13:58 +0000","AT&amp;T",-73.9824950193984,40.7634888628003,"@",2015-06-08
"49","Sun, 07 Jun 15 15:33:03 +0000","The Office Tavern Grill",-74.4810713698275,40.7960610123195,"@",2015-06-07
