Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-09-13 07:22:46,Cycling,,20.31,1:43:30,5:06,11.77,914.0,625.85,,,2015-09-13-0722.gpx
2015-09-07 09:02:31,Running,"Home 2mi",2.04,17:54,8:46,6.85,287.0,30.55,,,2015-09-07-0902.gpx
2015-09-06 07:48:38,Cycling,,15.67,1:02:54,4:01,14.95,682.0,320.62,,,2015-09-06-0748.gpx
2015-09-05 09:21:13,Running,"Home 2mi",2.04,18:42,9:10,6.54,288.0,36.69,,,2015-09-05-0921.gpx
2015-09-03 06:19:25,Running,"Home 2mi",2.05,19:27,9:30,6.31,287.0,31.09,,,2015-09-03-0619.gpx
2015-09-01 06:48:59,Running,,0.93,8:38,9:19,6.43,127.0,21.86,,,2015-09-01-0648.gpx
2015-08-30 08:46:55,Running,,1.18,10:35,8:57,6.71,167.0,16.77,,,2015-08-30-0846.gpx
2015-08-29 07:43:51,Cycling,,22.06,1:29:18,4:03,14.82,976.0,396.82,,,2015-08-29-0743.gpx
2015-08-26 07:14:59,Running,,1.18,10:56,9:18,6.45,162.0,8.64,,,2015-08-26-0714.gpx
2015-08-25 06:34:13,Running,,1.16,11:39,10:01,5.99,162.0,16.77,,,2015-08-25-0634.gpx
2015-08-21 09:00:08,Running,,1.29,11:59,9:19,6.44,186.0,80.45,,,2015-08-21-0900.gpx
2015-08-16 08:13:43,Cycling,,9.44,49:06,5:12,11.53,422.0,126.64,,,2015-08-16-0813.gpx
2015-08-13 08:02:38,Running,,2.42,28:47,11:53,5.05,328.0,53.10,,,2015-08-13-0802.gpx
2015-08-07 07:25:35,Cycling,,3.87,28:33,7:22,8.14,192.0,71.72,,,2015-08-07-0725.gpx
2015-08-04 06:45:33,Running,"Home 2mi",2.02,20:09,9:59,6.01,283.0,30.82,,,2015-08-04-0645.gpx
2015-08-01 09:00:22,Cycling,,7.33,30:11,4:07,14.58,312.0,117.70,,,2015-08-01-0900.gpx
2015-07-28 07:10:38,Running,"Home 2mi",2.06,19:52,9:38,6.23,284.0,29.73,,,2015-07-28-0710.gpx
2015-07-26 17:39:57,Running,,2.05,18:49,9:11,6.54,288.0,36.44,,,2015-07-26-1739.gpx
2015-07-25 08:24:09,Cycling,,6.34,33:47,5:20,11.25,292.0,106.01,,,2015-07-25-0824.gpx
2015-07-24 07:03:39,Running,,2.04,20:00,9:49,6.11,285.0,29.82,,,2015-07-24-0703.gpx
2015-07-22 07:22:53,Running,,1.35,14:08,10:29,5.72,185.0,25.22,,,2015-07-22-0722.gpx
2015-07-18 08:17:28,Cycling,,13.65,1:13:20,5:22,11.17,609.0,352.24,,"Morning ride on Wachusett Greenway",2015-07-18-0817.gpx
2015-07-15 07:41:58,Running,,2.04,19:43,9:41,6.20,282.0,29.64,,,2015-07-15-0741.gpx
2015-07-11 09:03:22,Running,,2.04,18:57,9:16,6.47,286.0,30.36,,,2015-07-11-0903.gpx
2015-07-10 07:50:31,Running,,2.00,19:54,9:57,6.03,285.0,47.45,,,2015-07-10-0750.gpx
2015-07-05 08:16:16,Cycling,,14.07,1:08:19,4:51,12.36,599.0,256.14,,,2015-07-05-0816.gpx
2015-07-03 15:06:27,Running,,1.59,15:33,9:48,6.13,219.0,17.02,,,2015-07-03-1506.gpx
2015-07-02 07:19:19,Running,,1.16,13:13,11:25,5.25,155.0,12.46,,,2015-07-02-0719.gpx
2015-07-01 12:46:02,Running,,2.05,20:40,10:06,5.94,281.0,34.69,,,2015-07-01-1246.gpx
2015-06-29 07:07:51,Running,,2.04,20:46,10:10,5.90,286.0,30.36,,,2015-06-29-0707.gpx
2015-06-25 07:09:24,Running,,1.98,20:14,10:13,5.87,280.0,34.98,,,2015-06-25-0709.gpx
2015-06-24 06:51:04,Running,,2.06,20:12,9:49,6.11,287.0,30.36,,,2015-06-24-0651.gpx
2015-06-22 09:04:56,Cycling,,3.60,19:45,5:30,10.92,165.0,67.50,,,2015-06-22-0904.gpx
2015-06-22 06:07:24,Running,,1.30,19:42,15:07,3.97,153.0,20.54,,,2015-06-22-0607.gpx
2015-06-20 07:33:16,Cycling,,14.93,1:13:03,4:54,12.26,639.0,269.16,,,2015-06-20-0733.gpx
2015-06-19 06:11:43,Running,,1.26,18:01,14:15,4.21,169.0,10.80,,,2015-06-19-0611.gpx
2015-06-16 06:07:34,Running,,0.76,14:24,19:00,3.16,74.0,6.64,,,2015-06-16-0607.gpx
2015-06-14 09:51:42,Cycling,,11.79,57:11,4:51,12.37,520.0,189.38,,,2015-06-14-0951.gpx
2015-06-12 06:13:43,Running,,0.37,7:53,21:27,2.80,36.0,4.96,,,2015-06-12-0613.gpx
2015-06-11 06:17:03,Running,,1.49,22:06,14:48,4.06,166.0,15.64,,,2015-06-11-0617.gpx
2015-06-10 06:15:08,Running,,1.44,20:17,14:07,4.25,172.0,13.36,,,2015-06-10-0615.gpx
2015-05-26 06:00:59,Running,,1.42,21:06,14:54,4.03,163.0,14.00,,,2015-05-26-0600.gpx
2015-05-25 08:48:02,Running,,2.04,19:45,9:41,6.19,286.0,40.35,,,2015-05-25-0848.gpx
2015-05-17 12:59:41,Cycling,,4.38,27:51,6:21,9.44,212.0,94.51,,,2015-05-17-1259.gpx
2015-01-19 12:46:06,Downhill Skiing,,0.40,2:05,5:13,11.50,5.65443218761796,0.00,,,2015-01-19-1246.gpx
2015-01-17 19:29:01,Downhill Skiing,,0.22,2:38,11:58,5.02,6.91153259288512,4.33,,,2015-01-17-1929.gpx
2014-09-28 08:10:44,Cycling,,15.08,1:02:18,4:08,14.52,649.0,242.28,,,2014-09-28-0810.gpx
2014-09-21 08:22:05,Cycling,,15.11,1:19:16,5:15,11.44,684.0,269.22,,,2014-09-21-0822.gpx
2014-09-07 07:09:53,Cycling,,56.78,4:43:45,5:00,12.01,2420.0,1740.02,,,2014-09-07-0709.gpx
2014-09-07 06:26:38,Cycling,,1.76,17:51,10:09,5.91,114.0,29.14,,,2014-09-07-0626.gpx
2014-09-06 15:12:32,Cycling,,8.66,57:10,6:36,9.09,458.0,149.35,,,2014-09-06-1512.gpx
2014-08-28 14:55:56,Cycling,,6.11,57:47,9:27,6.35,338.0,49.99,,,2014-08-28-1455.gpx
2014-08-16 07:38:53,Cycling,,28.52,2:01:58,4:17,14.03,1245.0,579.26,,,2014-08-16-0738.gpx
2014-08-15 21:34:14,Cycling,,2.97,17:19,5:50,10.30,142.0,77.53,,,2014-08-15-2134.gpx
2014-08-15 18:41:18,Cycling,,1.42,8:52,6:16,9.57,69.0,20.57,,,2014-08-15-1841.gpx
2014-08-15 16:23:00,Cycling,,3.18,44:29,13:59,4.29,286.0,91.11,,,2014-08-15-1623.gpx
2014-08-15 08:17:13,Cycling,,3.67,21:10,5:46,10.41,173.0,65.30,,"Great morning for Citibikin",2014-08-15-0817.gpx
2014-08-14 17:48:34,Cycling,,1.67,10:09,6:06,9.84,82.0,27.58,,,2014-08-14-1748.gpx
2014-08-11 14:51:19,Walking,,0.77,7:54,10:18,5.83,89.0,6.09,,,2014-08-11-1451.gpx
2014-08-08 16:12:46,Cycling,,1.84,12:08,6:37,9.08,85.0,25.21,,,2014-08-08-1612.gpx
2014-08-08 15:17:52,Cycling,,5.01,33:25,6:40,8.99,233.0,59.15,,,2014-08-08-1517.gpx
2014-08-08 13:11:03,Cycling,,4.73,24:12,5:07,11.72,212.0,63.31,,,2014-08-08-1311.gpx
2014-08-08 10:44:59,Cycling,,4.68,24:12,5:10,11.61,204.0,48.45,,,2014-08-08-1044.gpx
