Date,Weight,"Fat mass",Comments
"2016-08-19 07:37:24",175.8,38.6,
"2016-08-18 06:48:02",175.7,40.6,
"2016-08-17 06:47:33",177.4,41.2,
"2016-08-16 07:07:17",177.6,40.4,
"2016-08-15 06:36:16",175.7,40.3,
"2016-08-14 07:38:28",177.8,40.9,
"2016-08-13 09:23:15",175.9,41.7,
"2016-08-12 07:23:33",175.4,40.1,
"2016-08-11 07:31:50",175.7,39.7,
"2016-08-10 06:58:41",176.3,40.8,
"2016-08-09 07:33:12",176.6,41.2,
"2016-08-08 06:19:39",176.8,40,
"2016-08-07 08:38:23",176.7,40.9,
"2016-08-06 06:14:00",177.8,41.4,
"2016-08-05 06:21:18",177.2,40.5,
"2016-08-04 07:03:24",176.8,40.8,
"2016-08-03 06:30:49",177.1,39.7,
"2016-08-02 07:19:51",177,39.1,
"2016-07-30 08:09:41",176,41.1,
"2016-07-29 07:17:46",176.9,40,
"2016-07-28 07:06:19",176.7,41,
"2016-07-27 07:36:41",176.1,39.6,
"2016-07-26 06:17:47",176.6,41.2,
"2016-07-25 07:09:30",176.9,40,
"2016-07-24 07:52:18",177.4,41.2,
"2016-07-23 07:02:57",176.8,39.8,
"2016-07-22 07:14:22",178.2,41,
"2016-07-21 08:04:54",177,42,
"2016-07-20 07:12:28",176.6,40.9,
"2016-07-19 07:17:30",177.1,41.6,
"2016-07-18 07:40:48",178.6,39.7,
"2016-07-15 07:31:02",175.9,40.3,
"2016-07-14 07:24:21",176,39.8,
"2016-07-13 06:39:23",176.4,40.1,
"2016-07-12 06:45:34",174.9,39.4,
"2016-07-11 06:41:55",177,40.7,
"2016-07-10 07:25:21",178.7,40,
"2016-07-09 09:18:40",178,39.7,
"2016-07-08 07:17:36",178,41.2,
"2016-07-07 06:54:55",178.4,40.3,
"2016-07-06 06:51:31",177.7,40.9,
"2016-07-05 06:47:06",179,40.6,
"2016-07-04 07:40:55",180.6,41.1,
"2016-07-03 07:13:23",180.1,40.1,
"2016-06-25 08:20:39",179,42.3,
"2016-06-24 07:29:04",179,42.4,
"2016-06-23 07:25:22",178.9,41.7,
"2016-06-22 06:33:04",178.9,41.2,
"2016-06-21 07:01:51",179.2,40.5,
"2016-06-18 09:43:38",178.7,42.2,
"2016-06-17 06:16:56",179.5,43.4,
"2016-06-16 06:42:11",179.2,42,
"2016-06-15 07:04:01",178,42.4,
"2016-06-14 06:29:02",178.1,41,
"2016-06-13 06:14:02",179.3,42.2,
"2016-06-12 08:29:57",178.7,43.7,
"2016-06-11 08:59:08",178.4,42.5,
"2016-06-08 04:50:50",177.8,42,
"2016-06-07 06:32:05",177.2,41.2,
"2016-06-06 06:00:27",179.3,41.7,
"2016-06-05 09:26:00",178.5,40.7,
"2016-06-04 08:09:26",178.2,41.9,
"2016-06-02 04:09:20",178.9,,
"2016-06-01 06:08:34",178.1,39,
"2016-05-31 05:59:26",179.1,41.7,
"2016-05-31 05:58:55",177.7,40.3,
"2016-05-28 07:05:27",178.2,41.2,
"2016-05-27 06:24:49",177.2,40.4,
"2016-05-26 06:20:14",177.9,41.7,
"2016-05-25 05:51:06",179.2,42.7,
"2016-05-24 06:44:38",179.3,41.5,
"2016-05-22 07:52:30",179.7,41.4,
"2016-05-21 07:28:30",178.6,42,
"2016-05-20 07:07:20",178.2,41.8,
