"Date","Weight (lb)","Fat mass (%)","Lean mass (%)","Comments"
"2015-10-09 6:40 AM","177.4","22.9","77.1",""
"2015-10-08 6:09 AM","177.1","23.42","76.58",""
"2015-10-07 6:05 AM","176.1","22.6","77.4",""
"2015-10-06 6:08 AM","176.7","23.34","76.66",""
"2015-10-05 6:07 AM","177.1","22.67","77.33",""
"2015-10-04 7:31 AM","176.7","22.49","77.51",""
"2015-10-03 9:00 AM","177.9","23.33","76.67",""
"2015-10-02 6:23 AM","177.8","23.4","76.6",""
"2015-10-01 6:10 AM","177.8","22.22","77.78",""
"2015-09-30 6:11 AM","177.7","22.35","77.65",""
"2015-09-29 6:08 AM","176.8","22.63","77.37",""
"2015-09-28 5:59 AM","177.6","23.17","76.83",""
"2015-09-27 8:10 AM","177.5","22.98","77.02",""
"2015-09-26 8:28 AM","175.9","23.89","76.11",""
"2015-09-25 6:01 AM","177.9","22.73","77.27",""
"2015-09-24 7:01 AM","176.9","22.71","77.29",""
"2015-09-23 7:03 AM","176.9","23.14","76.86",""
"2015-09-22 6:04 AM","176.6","22.09","77.91",""
"2015-09-21 6:02 AM","177.3","22.54","77.46",""
"2015-09-20 7:40 AM","177.9","22.84","77.16",""
"2015-09-19 9:37 AM","178.1","23.23","76.77",""
"2015-09-18 6:03 AM","178","22.6","77.4",""
"2015-09-17 6:01 AM","178.1","22.74","77.26",""
"2015-09-16 6:02 AM","176.7","23.6","76.4",""
"2015-09-15 6:04 AM","179.1","22.86","77.14",""
"2015-09-14 7:37 AM","179.7","22.79","77.21",""
"2015-09-13 5:29 AM","178.6","22.59","77.41",""
"2015-09-12 8:10 AM","177.6","23.12","76.88",""
"2015-09-11 6:03 AM","177.7","22.24","77.76",""
"2015-09-10 5:52 AM","177.4","22.57","77.43",""
"2015-09-09 6:02 AM","177.4","22.62","77.38",""
"2015-09-08 6:05 AM","178.1","22.68","77.32",""
"2015-09-07 8:02 AM","179.3","22.43","77.57",""
"2015-09-06 7:28 AM","179.9","22.63","77.37",""
"2015-09-05 9:14 AM","179.2","22.94","77.06",""
"2015-09-04 5:55 AM","179.6","22.93","77.07",""
"2015-09-03 5:52 AM","178.2","23.14","76.86",""
"2015-09-02 6:52 AM","177.9","23.96","76.04",""
"2015-09-01 6:11 AM","177.8","23.71","76.29",""
"2015-08-31 6:10 AM","179.2","23.21","76.79",""
"2015-08-30 8:21 AM","180.1","","",""
"2015-08-29 7:17 AM","180.2","23.06","76.94",""
"2015-08-28 5:49 AM","177.9","","",""
